IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.9.129,8443,true,HKG,Asia Pacific,Hong Kong,12 ms,40285 kB/s
8.210.21.65,2053,true,HKG,Asia Pacific,Hong Kong,12 ms,38454 kB/s
8.210.66.190,8443,true,HKG,Asia Pacific,Hong Kong,11 ms,37499 kB/s
8.210.21.65,2096,true,HKG,Asia Pacific,Hong Kong,12 ms,37341 kB/s
34.80.142.68,33036,true,TPE,Asia Pacific,Taipei,20 ms,36554 kB/s
8.210.66.190,2053,true,HKG,Asia Pacific,Hong Kong,12 ms,36314 kB/s
8.218.158.94,2096,true,HKG,Asia Pacific,Hong Kong,17 ms,34754 kB/s
8.218.158.94,2083,true,HKG,Asia Pacific,Hong Kong,13 ms,34606 kB/s
8.210.9.129,2083,true,HKG,Asia Pacific,Hong Kong,13 ms,34247 kB/s
8.210.9.129,2087,true,HKG,Asia Pacific,Hong Kong,13 ms,33969 kB/s
8.210.66.190,2087,true,HKG,Asia Pacific,Hong Kong,12 ms,33605 kB/s
8.210.66.190,2096,true,HKG,Asia Pacific,Hong Kong,17 ms,33486 kB/s
8.218.158.94,2053,true,HKG,Asia Pacific,Hong Kong,15 ms,33193 kB/s
8.210.21.65,2083,true,HKG,Asia Pacific,Hong Kong,12 ms,32106 kB/s
43.154.96.33,443,true,HKG,Asia Pacific,Hong Kong,37 ms,30393 kB/s
8.210.66.190,2096,true,HKG,Asia Pacific,Hong Kong,10 ms,29787 kB/s
43.154.96.33,443,true,HKG,Asia Pacific,Hong Kong,37 ms,28132 kB/s
52.230.92.86,443,true,SIN,Asia Pacific,Singapore,51 ms,24962 kB/s
103.117.103.150,31913,true,NRT,Asia Pacific,Tokyo,94 ms,22630 kB/s
8.210.9.129,2053,true,HKG,Asia Pacific,Hong Kong,12 ms,18693 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,163 ms,11752 kB/s
8.222.214.231,2096,true,SIN,Asia Pacific,Singapore,205 ms,11226 kB/s
8.219.241.189,2083,true,SIN,Asia Pacific,Singapore,186 ms,11225 kB/s
8.222.138.164,2096,true,SIN,Asia Pacific,Singapore,208 ms,11188 kB/s
199.193.127.249,443,true,LAX,North America,Los Angeles,149 ms,11150 kB/s
8.219.145.245,2083,true,SIN,Asia Pacific,Singapore,201 ms,11141 kB/s
165.1.79.60,8443,true,SJC,North America,San Jose,163 ms,11129 kB/s
8.222.180.86,2087,true,SIN,Asia Pacific,Singapore,228 ms,11125 kB/s
8.222.175.78,8443,true,SIN,Asia Pacific,Singapore,193 ms,11120 kB/s
8.219.173.195,2083,true,SIN,Asia Pacific,Singapore,227 ms,11120 kB/s
8.222.155.242,2087,true,SIN,Asia Pacific,Singapore,187 ms,11110 kB/s
8.222.255.15,2096,true,SIN,Asia Pacific,Singapore,191 ms,11106 kB/s
202.91.35.9,443,true,LAX,North America,Los Angeles,168 ms,11105 kB/s
8.219.137.50,2087,true,SIN,Asia Pacific,Singapore,206 ms,11103 kB/s
8.219.61.52,2083,true,SIN,Asia Pacific,Singapore,188 ms,11085 kB/s
8.219.61.52,2053,true,SIN,Asia Pacific,Singapore,208 ms,11083 kB/s
8.222.213.221,2087,true,SIN,Asia Pacific,Singapore,202 ms,11074 kB/s
8.222.144.219,2096,true,SIN,Asia Pacific,Singapore,209 ms,11072 kB/s
8.222.224.162,2053,true,SIN,Asia Pacific,Singapore,199 ms,11066 kB/s
8.219.237.250,2087,true,SIN,Asia Pacific,Singapore,191 ms,11053 kB/s
8.219.100.155,2096,true,SIN,Asia Pacific,Singapore,204 ms,11045 kB/s
8.222.221.197,8443,true,SIN,Asia Pacific,Singapore,185 ms,11045 kB/s
8.219.157.97,2053,true,SIN,Asia Pacific,Singapore,204 ms,11026 kB/s
8.222.174.108,2083,true,SIN,Asia Pacific,Singapore,198 ms,11023 kB/s
8.222.140.185,2053,true,SIN,Asia Pacific,Singapore,190 ms,11020 kB/s
8.222.131.102,2096,true,SIN,Asia Pacific,Singapore,193 ms,11008 kB/s
